-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 09/30/2025 in LST
Location: Latitude  32.2131   Longitude -7.936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 442.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2020,1,1,0,8.48,4.63,6.55,5.49,77.53,0.0,97.7,2.33,186.2
2020,1,1,1,8.14,3.69,5.92,5.15,74.43,0.0,97.69,2.65,190.7
2020,1,1,2,7.85,2.6,5.22,4.78,70.46,0.0,97.67,2.95,194.3
2020,1,1,3,7.61,1.56,4.58,4.42,66.24,0.0,97.66,3.25,196.3
2020,1,1,4,7.45,0.6,4.02,4.1,62.14,0.0,97.68,3.48,196.0
2020,1,1,5,7.31,-0.11,3.6,3.87,59.25,0.0,97.71,3.63,195.3
2020,1,1,6,7.33,-0.48,3.43,3.76,57.52,0.0,97.77,3.62,195.0
2020,1,1,7,10.88,0.87,5.88,4.15,49.99,0.0,97.84,3.22,197.9
2020,1,1,8,14.95,-0.28,7.33,3.81,35.19,0.0,97.91,3.87,208.8
2020,1,1,9,17.91,0.52,9.21,4.04,30.91,0.0,97.94,3.52,247.6
2020,1,1,10,19.61,0.78,10.2,4.12,28.33,0.0,97.9,3.59,267.8
2020,1,1,11,20.52,0.61,10.57,4.08,26.5,0.0,97.83,4.09,279.6
2020,1,1,12,20.85,0.6,10.72,4.08,25.95,0.0,97.76,4.74,286.6
2020,1,1,13,20.55,0.94,10.74,4.2,27.2,0.0,97.74,5.17,291.1
2020,1,1,14,19.76,1.68,10.72,4.44,30.19,0.0,97.75,5.19,294.5
